id;data_acao;usuario_criacao_acao;pendente;data_execucao_acao;ativa;observacoes
1;2022-03-03T04:58:46;Architect COM;false;2022-03-03;false;Bedfordshire
2;2022-03-03T10:59:28;Steel;false;2022-03-03;true;pixel Future-proofed array
3;2022-03-03T01:01:06;Wooden;true;2022-03-03;true;Neck SQL intuitive
4;2022-03-02T23:10:48;Romania parse;false;2022-03-03;true;auxiliary empower Directives
5;2022-03-02T16:16:03;Rustic;false;2022-03-03;false;Louisiana Planner Awesome
6;2022-03-03T11:10:41;purple;true;2022-03-03;true;Personal mobile Tools
7;2022-03-03T06:34:06;Berkshire;true;2022-03-03;false;system
8;2022-03-03T07:34:28;turquoise;false;2022-03-02;false;Account sensor
9;2022-03-03T02:54:38;Human recontextualize Checking;true;2022-03-02;false;protocol Automotive Cambridgeshire
10;2022-03-03T03:13:04;California;false;2022-03-03;false;River JSON
