id;solicitante;anonima;data_solicitacao;endereco_entrega;local_de_entrega;data_aprovacao;aprovado;ativa
1;programming;true;2022-03-02T14:34:07;Producer;copying Rubber;2022-03-02;false;true
2;deploy Slovenia;true;2022-03-02T22:40:54;Concrete Nevada Operations;mindshare District Cambridgeshire;2022-03-02;false;false
3;Iowa auxiliary;true;2022-03-02T19:51:07;Alabama;magnetic;2022-03-02;true;false
4;networks;true;2022-03-02T16:14:33;Intranet Pants auxiliary;Adaptive capability;2022-03-02;true;true
5;blue;true;2022-03-02T14:45:17;orchid;Morocco;2022-03-03;true;false
6;GB intangible;true;2022-03-02T22:15:45;Berkshire Future;Response;2022-03-02;true;true
7;Alabama;true;2022-03-02T14:40:57;Cotton Indiana generation;wireless;2022-03-03;true;false
8;Legacy Berkshire Vision-oriented;true;2022-03-03T00:16:34;networks Fantastic cross-platform;collaborative;2022-03-02;true;false
9;open-source;true;2022-03-03T02:04:28;alliance matrix;multimedia Buckinghamshire Progressive;2022-03-02;false;true
10;Functionality;true;2022-03-03T02:11:20;RSS connect;dynamic invoice Intelligent;2022-03-02;false;false
